city,barangay,latitude,longitude
San Pablo City,Atisan,,
San Pablo City,Bagong Bayan II-A,,
San Pablo City,Bagong Pook VI-C,,
San Pablo City,Barangay I-A,,
San Pablo City,Barangay I-B,,
San Pablo City,Barangay II-A,,
San Pablo City,Barangay II-B,,
San Pablo City,Barangay II-C,,
San Pablo City,Barangay II-D,,
San Pablo City,Barangay II-E,,
San Pablo City,Barangay II-F,,
San Pablo City,Barangay III-A,,
San Pablo City,Barangay III-B,,
San Pablo City,Barangay III-C,,
San Pablo City,Barangay III-D,,
San Pablo City,Barangay III-E,,
San Pablo City,Barangay III-F,,
San Pablo City,Barangay IV-A,,
San Pablo City,Barangay IV-B,,
San Pablo City,Barangay IV-C,,
San Pablo City,Barangay V-A,,
San Pablo City,Barangay V-B,,
San Pablo City,Barangay V-C,,
San Pablo City,Barangay V-D,,
San Pablo City,Barangay VI-A,,
San Pablo City,Barangay VI-B,,
San Pablo City,Barangay VI-D,,
San Pablo City,Barangay VI-E,,
San Pablo City,Barangay VII-A,,
San Pablo City,Barangay VII-B,,
San Pablo City,Barangay VII-C,,
San Pablo City,Barangay VII-D,,
San Pablo City,Barangay VII-E,,
San Pablo City,Bautista,,
San Pablo City,Concepcion,,
San Pablo City,Del Remedio,,
San Pablo City,Dolores,,
San Pablo City,San Antonio 1,,
San Pablo City,San Antonio 2,,
San Pablo City,San Bartolome,,
San Pablo City,San Buenaventura,,
San Pablo City,San Crispin,,
San Pablo City,San Cristobal,,
San Pablo City,San Diego,,
San Pablo City,San Francisco,,
San Pablo City,San Gabriel,,
San Pablo City,San Gregorio,,
San Pablo City,San Ignacio,,
San Pablo City,San Isidro,,
San Pablo City,San Joaquin,,
San Pablo City,San Jose,,
San Pablo City,San Juan,,
San Pablo City,San Lorenzo,,
San Pablo City,San Lucas 1,,
San Pablo City,San Lucas 2,,
San Pablo City,San Marcos,,
San Pablo City,San Mateo,,
San Pablo City,San Miguel,,
San Pablo City,San Nicolas,,
San Pablo City,San Pedro,,
San Pablo City,San Rafael,,
San Pablo City,San Roque,,
San Pablo City,San Vicente,,
San Pablo City,Sta. Ana,,
San Pablo City,Sta. Catalina,,
San Pablo City,Sta. Cruz,,
San Pablo City,Sta. Felomina,,
San Pablo City,Sta. Isabel,,
San Pablo City,Sta. Maria,,
San Pablo City,Sta. Maria Magdalena,,
San Pablo City,Sta. Monica,,
San Pablo City,Sta. Veronica I,,
San Pablo City,Sta. Veronica II,,
San Pablo City,Santiago I,,
San Pablo City,Santiago II,,
San Pablo City,Santisimo Rosario,,
San Pablo City,Santo Angel,,
San Pablo City,Santo Cristo,,
San Pablo City,Santo Niño,,
San Pablo City,Soledad,,
Quezon Province,Anastacia,,
Quezon Province,Aquino,,
Quezon Province,Ayusan I,,
Quezon Province,Ayusan II,,
Quezon Province,Behia,,
Quezon Province,Bukal,,
Quezon Province,Bula,,
Quezon Province,Bulakin,,
Quezon Province,Cabatang,,
Quezon Province,Cabay,,
Quezon Province,Del Rosario,,
Quezon Province,Lagalag,,
Quezon Province,Lalig,,
Quezon Province,Lumingon,,
Quezon Province,Lusacan,,
Quezon Province,Paiisa,,
Quezon Province,Palagaran,,
Quezon Province,Poblacion I,,
Quezon Province,Poblacion II,,
Quezon Province,Poblacion III,,
Quezon Province,Poblacion IV,,
Quezon Province,Quipot,,
Quezon Province,San Agustin,,
Quezon Province,San Francisco,,
Quezon Province,San Isidro,,
Quezon Province,San Jose,,
Quezon Province,San Juan,,
Quezon Province,San Pedro,,
Quezon Province,Tagbakin,,
Quezon Province,Talisay,,
Quezon Province,Tamisian,,
